1,11,12
2,11,12
3,11,13
4,11,12
5,11,19
6,11,19
7,11,19
8,11,19
9,11,19
10,1,2
10,6,2
10,8,5
10,12,5
10,12,9
11,4,21
12,8,5
13,8,5
14,2,5
15,2,9
16,11,19
17,11,12
18,7,12
19,11,12
20,11,12
21,6,15
21,8,16
21,10,9
22,10,9
23,6,15
23,8,16
23,10,9
24,3,16
24,10,9
25,1,19
25,3,2
25,9,2
26,3,2
26,9,2
27,10,28
28,4,23
28,5,12
28,11,2
29,4,23
29,5,12
29,11,2
30,1,2
30,5,8
31,7,28
31,12,4
32,4,23
33,1,29
33,12,24
34,4,23
34,9,27
35,4,23
36,4,23
37,1,29
37,12,24
38,9,9
38,12,24
39,1,29
39,12,24
40,1,29
40,12,24
41,1,29
41,2,5
41,12,16
41,12,24
42,1,30
43,1,30
44,2,5
44,12,16
45,1,29
45,12,24
46,1,29
46,12,24
47,7,28
47,8,28
47,12,4
48,7,28
48,8,28
48,12,4
49,5,29
49,7,29
50,6,19
50,6,26
50,11,8
51,7,31
52,6,8
53,6,26
54,7,28
54,12,4
55,9,7
55,10,22
56,2,2
56,7,28
56,12,4
57,4,21
57,8,28
58,2,21
58,6,17
59,1,2
59,5,8
60,5,12
60,6,26
61,5,12
61,6,26
62,6,26
63,3,4
63,3,5
63,9,8
64,3,4
64,3,5
64,9,8
65,3,4
65,3,5
65,9,8
66,9,8
67,3,4
67,3,5
67,9,8
68,3,4
68,3,5
68,9,8
69,3,4
69,3,5
69,9,8
70,8,5
70,8,7
71,8,5
71,8,7
72,8,5
72,8,7
73,1,10
73,4,1
74,1,4
75,1,10
75,4,1
76,1,11
76,2,5
77,1,10
77,8,22
77,12,7
78,8,18
79,1,4
79,7,4
79,12,16
80,1,1
80,5,14
81,1,21
81,1,28
81,3,6
81,6,8
81,11,16
82,2,6
82,5,28
83,12,14
84,12,14
85,1,21
85,1,28
85,3,6
85,6,8
85,11,16
86,1,21
86,1,28
86,3,6
86,6,8
86,11,16
87,5,28
87,8,3
87,8,8
87,8,28
88,5,28
88,8,3
88,8,8
88,8,28
89,5,27
89,5,28
89,8,28
90,1,11
90,2,5
91,5,27
91,5,28
91,8,28
92,2,5
93,4,23
93,5,12
93,11,2
94,3,20
94,4,16
94,7,26
94,8,16
95,1,16
96,2,2
96,8,31
97,5,10
98,5,10
99,2,3
100,4,25
100,11,15
101,3,9
101,9,15
102,2,6
102,7,17
102,12,31
103,2,17
103,8,7
104,6,1
105,11,27
106,5,10
107,4,25
108,5,10
109,4,25
109,11,15
110,7,19
110,10,4
111,3,13
111,4,30
111,6,16
111,7,27
112,2,27
112,3,31
112,5,8
112,6,22
113,2,5
114,1,2
114,2,27
114,3,31
114,6,22
115,2,20
115,3,11
115,4,18
115,4,20
115,5,26
115,6,29
116,2,9
117,2,9
117,4,20
117,8,8
118,6,21
118,10,17
119,9,8
119,10,14
119,11,25
120,3,27
121,10,19
122,2,9
122,4,20
122,8,8
123,12,16
124,4,23
124,8,7
124,8,24
124,9,5
124,11,15
125,8,24
125,11,15
126,8,24
126,11,15
127,8,24
127,11,15
128,3,1
128,6,22
128,10,26
129,3,1
129,6,22
130,5,10
131,8,31
131,9,6
132,8,13
132,10,8
132,12,29
133,5,10
134,1,10
134,4,15
134,5,31
135,2,6
136,5,19
137,2,12
137,12,10
138,9,8
138,10,14
138,11,25
139,5,29
140,1,9
141,2,5
141,12,16
142,12,16
143,2,9
143,2,17
144,3,18
144,3,20
144,5,18
145,2,26
145,3,18
145,5,3
146,3,18
146,3,20
146,5,18
147,1,9
147,5,10
147,7,17
148,1,23
148,8,1
148,8,2
148,10,30
149,8,2
149,10,30
150,8,2
150,10,30
151,8,2
151,10,30
152,1,15
152,2,15
152,2,23
152,7,19
152,8,15
152,8,28
152,10,28
152,11,16
153,2,23
153,7,19
153,10,28
154,1,1
155,8,15
156,5,18
156,6,29
156,8,24
157,2,5
157,6,17
158,6,17
158,7,28
159,12,4
160,6,17
160,12,24
161,12,16
162,6,29
162,8,24
162,11,14
163,7,10
164,7,10
165,3,24
166,3,24
166,5,29
167,3,24
167,5,29
168,1,1
168,2,20
169,6,21
170,6,21
171,3,27
171,9,5
172,5,19
173,5,19
174,6,22
174,12,16
175,6,11
175,7,11
176,1,28
176,3,30
176,8,10
177,1,28
177,3,30
177,8,10
178,1,28
178,3,30
178,8,10
179,1,5
179,2,20
179,9,13
180,1,28
180,3,30
180,8,10
181,1,28
181,5,4
181,7,10
181,10,7
181,11,20
181,11,21
